customer_state,product_name_english,total_order_payment
PR,sports_leisure,419.18
RJ,fashion_bags_accessories,150.12
SP,bed_bath_table,63.66
SP,fashion_bags_accessories,46.85
MG,bed_bath_table,29.0
SP,telephony,36.68
SP,computers_accessories,20.75
SP,bed_bath_table,61.8
PA,computers_accessories,297.14
RS,watches_gifts,155.65
MT,electronics,91.21
MT,computers_accessories,91.21
SP,computers_accessories,37.58
RJ,housewares,63.33
SP,housewares,35.84
SC,housewares,92.18
SP,stationery,214.08
SP,office_furniture,354.87
SP,furniture_decor,52.38
RJ,garden_tools,77.57
SP,luggage_accessories,546.12
PR,furniture_decor,162.77
BA,christmas_supplies,109.5
RS,cool_stuff,237.0
MG,auto,443.73
PE,housewares,228.79
BA,garden_tools,107.81
SP,computers_accessories,119.32
SP,bed_bath_table,142.51
SP,books_general_interest,542.66
RJ,office_furniture,433.98
SP,baby,62.91
SP,toys,112.33
SP,furniture_decor,109.04
SP,health_beauty,39.78
SP,luggage_accessories,109.29
SP,office_furniture,189.08
RJ,home_appliances_2,1600.51
BA,computers_accessories,73.96
MG,housewares,171.88
RS,housewares,49.6
SP,health_beauty,149.87
MT,telephony,71.38
RS,stationery,31.22
SP,sports_leisure,94.35
PR,garden_tools,46.1
SP,baby,118.54
SP,toys,233.93
SP,bed_bath_table,215.01
MG,telephony,44.09
SP,garden_tools,67.36
SP,watches_gifts,64.0
SP,bed_bath_table,147.78
SP,housewares,42.35
SC,health_beauty,183.05
SP,fixed_telephony,40.77
SP,fashion_underwear_beach,185.83
RJ,cool_stuff,110.72
SP,furniture_decor,186.92
SP,computers_accessories,147.97
RJ,sports_leisure,35.4
SP,stationery,66.91
MG,health_beauty,144.31
RJ,pet_shop,105.08
MA,sports_leisure,60.05
SP,perfumery,144.66
ES,auto,40.6
SP,pet_shop,78.51
SP,furniture_decor,276.11
SP,baby,276.11
ES,health_beauty,140.0
DF,perfumery,226.14
RJ,bed_bath_table,107.78
SP,auto,223.88
MG,furniture_decor,94.36
ES,perfumery,141.14
RJ,garden_tools,77.57
SP,electronics,16.78
MG,furniture_decor,55.6
RS,books_general_interest,130.15
SP,construction_tools_construction,73.62
RS,fashion_bags_accessories,414.06
